Sno,Customer_ID,Product_ID,Return_Type,Amount,Difference_in_days,Rating
0,9237394,X2114SM01,1,338,9,2.2
1,9238887,X3526WWB,0,279,24,2.1
2,9237664,X-2286,1,299,2,4.4
3,9237664,C024,1,324,1,2.4
4,9239473,HMTS-B9022,1,274,1,2.9
5,9237253,AXE-1143NL01,1,348,1,3.5
6,9236804,X-2261,0,338,1,4.5
7,9239832,HM-GG9501,1,348,1,4.3
8,9236334,C037,0,344,1,2.6
9,9236170,X-7053,0,360,2,3.2
10,9239546,HM-GG9004,0,299,0,3.6
11,9237554,C030,0,284,1,4.7
12,9237300,XDD-7011,1,0,0,3.3
13,9239499,XDD-7059,1,348,0,1.9
14,9237693,X-6033,1,355,2,3.1
15,9238110,XDD-7008,1,355,2,2.5
16,9237278,X0182CWWB,1,610,2,2.6
17,9236261,X-6052,0,298,1,2.5
18,9238182,X-7060,0,279,24,3.1
19,9239999,X-2286,0,320,1,4.4
20,9237752,X-6055,1,287,1,2.5
21,9238388,C012,0,319,1,2.5
22,9239927,HMTS-B9024,0,360,1,2.8
23,9239996,XDD-7072,1,360,1,4.7
24,9238277,C024,1,992,2,2.4
25,9239403,XDD-7056,0,835,1,3.3
26,9237184,XDD-7038,0,307,1,1.9
27,9237121,XDD-7046,1,658,1,3.7
28,9237345,X1184MS-Black,0,319,28,2.9
29,9236750,XDD-7043,0,320,1,1.8
30,9239102,X-2293,0,785,0,3.5
31,9238595,X-6025,0,329,1,2
32,9237223,X-2294,0,339,1,1.7
33,9236482,X-3008,1,720,2,1.6
34,9237057,C033,0,329,0,4.1
35,9239985,C024,0,306,1,2.4
36,9238086,X1176MS-Black,0,298,0,2.6
37,9239256,X-1144KL01,1,0,0,2
38,9237250,C030,0,324,1,4.7
39,9239681,XDD-7009,0,348,0,2.8
40,9239211,X-2294,1,340,1,1.7
41,9237177,XDD-7072,0,339,1,4.7
42,9236989,C041,0,319,1,2.6
43,9237021,C040,0,309,0,4.5
44,9238071,XDD-7015,1,287,1,3.6
45,9236425,HM-GS9005,0,319,1,4.7
46,9236954,C017,1,325,1,2.3
47,9238892,X-2264,0,286,1,4.1
48,9236479,X2229SM03,0,348,1,4
49,9239528,X3530WWB,0,785,0,4.6
50,9236528,X-2264,0,325,0,4.1
51,9238792,XDD-8005,1,338,5,2.7
52,9239493,X-2261,1,226,1,4.5
53,9239984,X1158MS-Black,0,289,2,4.2
54,9237216,X1190,1,279,1,2.7
55,9238005,X0182CWWS,0,360,0,3
56,9239449,X-6004,0,335,0,4.6
57,9238717,HMTS-B9022,0,345,1,2.9
58,9238443,XDD-7078,1,670,0,4.6
59,9237007,X3525WWB,1,319,1,4.6
60,9237039,X2212SM01,0,285,2,3.6
61,9237971,X-6023,1,319,1,4.3
62,9237463,C016,0,285,2,4.3
63,9239245,X-2287,1,329,1,3
64,9239033,XDD-7087,0,289,2,3.4
65,9239763,X-6024,1,279,1,4.6
66,9239699,X0522BSG,0,329,0,2.1
67,9236834,X-2264,0,329,1,4.1
68,9236537,XDD-7051,0,340,0,3.7
69,9237020,C011,0,339,1,3.9
70,9238931,XDD-7008,1,338,2,2.5
71,9239439,X1184MS-Black,0,289,0,2.9
72,9239121,XBB-6016,0,339,0,4.7
73,9239519,X1152MS-Black,0,329,1,1.5
74,9239318,XDD-7010,0,339,1,4.7
75,9238141,XDD-7046,0,348,1,3.7
76,9239556,X-3005,0,339,1,1.9
77,9236469,X-7060,0,319,1,3.1
78,9236557,X3532WWB,0,339,0,1.7
79,9238575,X-6052,0,319,1,2.5
80,9237182,XDD-7065,0,329,0,4.5
81,9238618,X-7053,0,345,2,3.2
82,9238282,X-7053,0,289,0,3.2
83,9237360,X-6013,1,338,2,2.6
84,9238262,X-6015,0,360,0,1.8
85,9238872,X2253,0,289,0,4.3
86,9238242,C001,0,324,0,3.9
87,9236129,X1165KL01,1,324,1,4.8
88,9237319,XDD-8006,0,324,0,4
89,9236956,X1174MS-White,0,289,1,4.5
90,9236995,X1170MS-Black,0,320,1,3.3
91,9238703,X2212SM01,0,678,2,3.6
92,9239604,HM-GG9004,0,329,1,3.6
93,9236513,X-2292,1,360,0,4.3
94,9239530,XDD-7016,1,0,0,3.7
95,9236920,X-B6007,0,334,0,3.1
96,9238623,X1177MS-Blue,0,274,1,2.9
97,9238361,HMTS-B9023,1,339,2,3.6
98,9236897,X-3001,1,339,1,4.3
99,9237488,X-6026,0,339,1,1.6
100,9237623,X1176MS-Black,0,330,2,2.6
101,9239356,C003,0,324,1,4.7
102,9239486,X-2286,1,745,2,4.4
103,9237242,X-2261,0,289,5,4.5
104,9238914,XDD-7071,0,285,2,2.2
105,9238685,HMTS-B9023,1,339,3,3.6
106,9236368,X-2286,0,0,0,4.4
107,9236639,XDD-7040,0,360,1,4
108,9238090,X-1165SL01,1,348,2,1.7
109,9238537,X3532WWB,0,329,2,1.7
110,9237545,XDD-7062,0,339,1,4.5
111,9237327,C034,1,339,2,2.3
112,9239620,X-2278,0,289,1,4.6
113,9236820,X-2292,1,339,0,4.3
114,9238469,C002,0,348,0,3.8
115,9237342,X-2282,0,279,1,1.8
116,9237741,X-1116SL01,0,316,1,2.7
117,9239879,X-2283,0,289,0,1.7
118,9239958,C007,0,289,1,4.1
119,9236990,XDD-7033,0,320,1,3
120,9237172,X1115SM01,1,348,1,2.2
121,9236479,HM-SB9003,0,274,1,1.7
122,9237211,C025,1,330,1,3.9
123,9237819,C033,1,319,1,4.1
124,9239609,X-9001,0,349,1,1.9
125,9239328,X-4001,1,339,0,2
126,9239553,HMTG-TT9018,0,289,0,3.7
127,9239709,X-6024,0,335,0,4.6
128,9236889,X-2285,1,349,0,3.6
129,9239322,X-2293,0,370,1,3.5
130,9238387,X-7058,0,348,1,1.7
131,9238337,C020,1,339,0,4.3
132,9238165,XDD-7076,1,320,1,2
133,9237545,C040,0,349,1,4.5
134,9238007,XDD-7075,1,349,0,1.8
135,9237976,C031,0,349,0,3.1
136,9239844,XDD-7072,1,1356,0,4.7
137,9237575,X1162KL01,1,339,0,4.6
138,9236514,XDD-7054,0,339,1,2
139,9238201,X01170219S,0,329,1,4
140,9238114,XDD-7050,0,289,0,3.2
141,9237851,C037,1,319,1,2.6
142,9236253,C020,0,299,0,4.3
143,9238015,XDD-7012,1,329,1,2.9
144,9237451,C016,0,299,0,4.3
145,9238607,X3512WW,0,349,1,2.2
146,9237193,OXDD1526,0,238,1,1.7
147,9237455,X-2286,1,349,0,4.4
148,9236528,C008,1,329,1,4.1
149,9237377,HMTG-G9004,0,349,1,4.7
150,9236648,X-6003,0,262,0,4.6
151,9238086,X6007,0,279,1,1.9
152,9239464,XDD-7011,1,370,1,3.3
153,9236621,X-4001,0,349,1,2
154,9238100,X2251,0,349,0,1.6
155,9239414,X1152MS-Black,0,319,1,1.5
156,9238521,XDD-1012,0,339,1,2.4
157,9239433,XDD-7044,0,299,1,2.8
158,9238887,X6007,1,349,1,1.9
159,9238445,X11162116SL01,1,325,1,3.1
160,9239599,C033,0,299,0,4.1
161,9237079,X0525BSG,1,319,0,4.8
162,9239831,X-2267,0,299,0,2.1
163,9237830,X-2262,1,340,2,2.2
164,9237493,X1143NL01,0,289,0,3.4
165,9237240,X-7003,0,347,1,3.7
166,9236559,X-6013,0,339,0,2.6
167,9238098,C034,0,339,1,2.3
168,9236057,X2241SL02,1,339,1,4.8
169,9236651,HMTS-B9023,0,299,0,3.6
170,9237720,X2241SL02,0,349,0,4.8
171,9238467,X-6021,0,286,0,2.5
172,9238232,HM-GG9501,0,299,1,4.3
173,9238573,C044,0,262,0,2.4
174,9237673,X2114SM01,0,0,0,2.2
175,9238731,XDD-7052,0,286,1,2
176,9238882,C026,0,339,1,3.6
177,9238990,XDD-7057,1,339,1,4.4
178,9237492,HM-GG9007,1,349,0,4.6
179,9238854,X-6053,0,329,1,3
180,9237697,X-3003,0,829,1,4.7
181,9236489,XDD-1020,0,329,0,3.8
182,9239488,C008,1,279,1,4.1
183,9238544,XDD-7014,0,339,0,2.9
184,9238685,XM3,1,249,1,3.3
185,9237969,X3516WW,0,324,14,2.4
186,9239537,XDD-7005,0,328,0,2
187,9239289,X-6014,0,248,2,1.9
188,9237194,X-5502,0,329,1,2.9
189,9238617,X-6007,0,339,1,4.8
190,9236368,X2114SM01,1,334,1,2.2
191,9239125,X-3007,0,322,0,2.6
192,9239418,X-1135,1,276,4,2.3
193,9239452,OXDD1526,0,329,1,1.7
194,9236128,XDD-7005,0,286,1,2
195,9239496,X11142114SM01,0,339,1,2.5
196,9236129,X3501WWB,0,365,1,2
197,9238642,C022,1,284,1,3.5
198,9237299,X-6010,1,558,0,2.7
199,9237545,C041,1,349,0,2.6
200,9237390,X-1121,1,552,0,3.9
201,9236613,X-6003,1,325,1,4.6
202,9237547,X-2280,1,349,1,3
203,9238350,X0525BSG,0,308,1,4.8
204,9239487,X-6004,1,329,1,4.6
205,9238233,X2212SM01,0,276,1,3.6
206,9239828,X1115MS-White,1,354,2,2.8
207,9236867,XDD-7032,1,339,1,2.5
208,9237044,X-3009,0,339,1,1.7
209,9237808,HM-GS9005,1,286,0,4.7
210,9238130,C037,0,328,1,2.6
211,9238743,XDD-7035,0,299,1,3.7
212,9238837,X-2278,1,339,1,4.6
213,9237449,X-2269,0,349,1,4.1
214,9239756,C044,1,339,0,2.4
215,9236163,X-1201,0,334,0,4.4
216,9237637,X1177MS-Blue,0,335,1,2.9
217,9236883,X-2286,0,304,0,4.4
218,9236016,XDD-7012,0,324,0,2.9
219,9239649,X-B6002,1,330,0,4.5
220,9236774,HM-GG9501,1,324,2,4.3
221,9239869,HMTG-G9004,1,339,0,4.7
222,9237632,X1115SM02,1,239,1,3.5
223,9237405,OXDD1526,1,301,0,1.7
224,9236566,X-B6007,0,324,0,3.1
225,9238132,XDD-7066,1,334,0,2.9
226,9238894,X2229SM03,1,286,0,4
227,9238832,C025,0,248,0,3.9
228,9239044,X0505SG,0,334,1,3.5
229,9238394,C012,1,339,0,2.5
230,9237589,X-3008,0,324,0,1.6
231,9238501,HM-GB9006,1,289,2,3.8
232,9238992,X2116SL01,1,0,0,4.3
233,9237336,X-2292,0,334,1,4.3
234,9239604,X2229SM03,0,339,0,4
235,9236657,X-5502,0,280,1,2.9
236,9237584,XDD-7046,0,248,0,3.7
237,9238599,X-6003,1,279,1,4.6
238,9236877,X-B6007,0,349,1,3.1
239,9238524,C040,0,339,1,4.5
240,9238027,XDD-7015,0,370,0,3.6
241,9239010,XDD-7064,0,299,0,2.9
242,9239830,X-6018,1,648,0,4.5
243,9236462,XDD-1012,0,349,1,2.4
244,9239763,XDD-7011,0,328,1,3.3
245,9238251,X-2270,1,339,0,3.5
246,9237204,X3529WWB,1,339,1,4.5
247,9237783,X11162116SL01,0,339,1,3.1
248,9239771,C041,1,334,1,2.6
249,9237294,XDD-7033,0,329,0,3
250,9238445,XDD-7011,1,279,1,3.3
251,9237649,X1165KL01,1,379,1,4.8
252,9236713,X3530WWB,0,552,1,4.6
253,9236828,HM-GB9006,0,299,0,3.8
254,9238138,X-6005,1,348,1,2.2
255,9236229,X11162116SL01,0,289,1,3.1
256,9237868,X3527WWB,1,365,0,3.4
257,9236836,X-7053,0,314,1,3.2
258,9238112,C003,0,284,0,4.7
259,9236039,C007,0,316,0,4.1
260,9237108,X01170219S,1,349,1,4
261,9238126,X-2278,0,299,1,4.6
262,9236612,XDD-1002,0,349,0,4.1
263,9237314,X-6008,0,299,0,4.4
